personid,educ,cigpric,white,age,income,cigs,restaurn
723,15,63.318,1,66,20000,0,0
724,12,63.548,1,18,30000,0,0
725,16,62.685,1,44,30000,40,0
726,12,62.742,1,41,20000,0,0
727,6,62.829,1,31,8500,0,0
728,12,63.577,1,61,4500,40,0
729,10,63.232,1,29,20000,0,0
730,13.5,62.57,1,70,3500,12,0
731,6,63.692,1,49,5500,20,0
732,16,62.886,0,35,20000,0,0
733,12,63.203,1,28,20000,15,0
734,12,63.548,0,30,20000,0,0
735,13.5,63.989,0,23,12500,0,0
736,12,62.771,1,35,20000,0,0
737,12,63.26,1,24,8500,0,0
738,16,63.663,0,22,30000,0,0
739,10,63.663,1,49,30000,0,0
740,12,63.232,1,38,30000,30,0
741,12,56.174,0,22,30000,0,1
742,16,56.51,0,45,20000,0,1
743,18,56.174,0,39,30000,0,1
744,15,54.63,1,61,12500,0,1
745,12,54.764,1,19,30000,0,1
746,18,56.174,1,36,20000,0,1
747,10,54.764,1,21,30000,0,1
748,16,54.63,1,38,30000,0,1
749,12,46.932,1,39,30000,0,0
750,18,47.035,1,29,20000,0,0
751,13.5,48.798,1,44,30000,0,0
752,12,46.31,1,46,30000,10,0
753,13.5,47.657,1,26,30000,0,0
754,13.5,48.071,1,30,20000,0,0
755,12,47.346,1,47,20000,40,0
756,6,48.545,1,64,20000,0,0
757,12,47.501,1,18,20000,5,0
758,12,47.346,1,37,12500,20,0
759,10,47.605,0,67,12500,0,0
760,10,47.812,1,29,20000,20,0
761,18,46.466,1,60,30000,5,0
762,12,46.776,1,39,20000,0,0
763,13.5,46.31,1,59,20000,15,0
764,6,46.518,1,75,1500,0,0
765,12,48.545,1,19,30000,15,0
766,13.5,63.45,1,27,20000,6,0
767,13.5,62.227,1,62,20000,0,0
768,12,63.113,1,63,30000,20,0
769,12,63.408,1,60,30000,0,0
770,12,62.86,1,46,30000,20,0
771,12,62.227,1,28,6500,0,0
772,13.5,62.227,1,20,20000,15,0
773,12,63.366,1,50,20000,0,0
774,15,62.1,1,43,30000,0,0
775,12,63.366,1,45,30000,55,0
776,12,63.282,1,62,6500,0,0
777,6,63.282,1,70,4500,12,0
778,12,64.161,1,58,12500,0,0
779,12,64.107,1,21,30000,0,0
780,13.5,63.028,1,27,1500,0,0
781,18,64.214,1,47,30000,0,0
782,10,63.999,1,68,12500,0,0
783,10,63.282,1,17,30000,2,0
784,16,62.227,1,35,20000,0,0
785,12,62.691,1,37,30000,0,0
786,16,63.838,1,30,20000,20,0
787,10,63.408,1,19,30000,0,0
788,12,63.493,1,54,12500,30,0
789,12,63.838,1,41,30000,10,0
790,12,62.227,1,34,30000,0,0
791,13.5,62.691,1,28,6500,20,0
792,13.5,62.185,1,26,20000,30,0
793,12,62.48,1,18,30000,0,0
794,12,62.868,1,19,20000,0,0
795,6,61.251,1,29,20000,0,0
796,8,59.988,1,60,12500,15,0
797,18,61.393,1,50,20000,0,0
798,12,60.707,1,52,20000,40,0
799,15,61.251,1,22,30000,5,0
800,10,60.036,1,38,20000,40,0
